Sample	Attribute	Primary	Attribute	Secondary	Scdry Attr	Cap	Sample	Primary	Secondary	Peak	Name	Position	MW(kDa)	Height	Area	%Area	Width	S/N	Baseline	Channel
"sHF100.1"	""	"Primary"	""	"Secondary"	""	16	A16	C16	D16	3		529	220.776	3849.92	121291.057	 	29.5968	35.2	286.38	CHEMI
"sHF100.2"	""	"Primary"	""	"Secondary"	""	17	A17	C17	D17	1		406	61.278	716.83	15626.354	 	20.4789	36.6	216.32	CHEMI
"sHF100.2"	""	"Primary"	""	"Secondary"	""	17	A17	C17	D17	2		487	150.556	8383.5	138668.857	 	15.5389	369.4	268.53	CHEMI
"sHF92.1"	""	"Primary"	""	"Secondary"	""	18	A18	C18	D18	1		189	2.69	2333.92	52751.931	 	21.2334	49.3	226.88	CHEMI
"sHF92.1"	""	"Primary"	""	"Secondary"	""	18	A18	C18	D18	2		377	50.746	1541.7	34986.664	 	21.3191	29.7	324.23	CHEMI
"sHF92.1"	""	"Primary"	""	"Secondary"	""	18	A18	C18	D18	3		404	60.686	2510.86	64965.217	 	24.3068	37.8	321.44	CHEMI
"sHF92.1"	""	"Primary"	""	"Secondary"	""	18	A18	C18	D18	4		456	107.395	14214.79	310440.445	 	20.5166	90.7	304.12	CHEMI
"sHF92.1"	""	"Primary"	""	"Secondary"	""	18	A18	C18	D18	5		488	153.615	75686.45	1876478.646	 	23.2913	1259.7	286.85	CHEMI
"sHF92.1"	""	"Primary"	""	"Secondary"	""	18	A18	C18	D18	6		516	198.144	38766.83	852969.532	 	20.67	81.5	268.38	CHEMI
"sHF92.2"	""	"Primary"	""	"Secondary"	""	19	A19	C19	D19	1		189	2.931	1958.74	43838.18	 	21.0254	75.2	187.73	CHEMI
"sHF92.2"	""	"Primary"	""	"Secondary"	""	19	A19	C19	D19	2		376	51.302	607.78	12390.811	 	19.1522	23.5	423.65	CHEMI
"sHF92.2"	""	"Primary"	""	"Secondary"	""	19	A19	C19	D19	3		407	60.478	1215.4	30845.366	 	23.8417	27.4	445.14	CHEMI
"sHF92.2"	""	"Primary"	""	"Secondary"	""	19	A19	C19	D19	4		455	106.88	10333.47	245429.201	 	22.3125	115.3	450.75	CHEMI
"sHF92.2"	""	"Primary"	""	"Secondary"	""	19	A19	C19	D19	5		489	154.713	74609.38	1495658.397	 	18.8324	2353.6	437.86	CHEMI
"sHF92.2"	""	"Primary"	""	"Secondary"	""	19	A19	C19	D19	6		512	192.002	44216.07	1122143.707	 	23.8416	102.2	422.72	CHEMI
"sHF92.3"	""	"Primary"	""	"Secondary"	""	20	A20	C20	D20	1		192	4.024	384.64	11792.781	 	28.8026	20.2	171.76	CHEMI
"sHF92.3"	""	"Primary"	""	"Secondary"	""	20	A20	C20	D20	2		405	60.212	782.65	23087.082	 	27.7122	20.5	320.55	CHEMI
"sHF92.3"	""	"Primary"	""	"Secondary"	""	20	A20	C20	D20	3		447	97.837	8436.75	203536.854	 	22.664	476.1	312.09	CHEMI
"sHF92.3"	""	"Primary"	""	"Secondary"	""	20	A20	C20	D20	4		494	164.522	68869.84	2634479.059	 	35.9363	732.7	282.12	CHEMI
"sHF92.3"	""	"Primary"	""	"Secondary"	""	20	A20	C20	D20	5		519	210.627	29404.4	539771.894	 	17.2451	765.1	259.09	CHEMI
"Blank"	""	"Antibody Diluent"	""	"Antibody Diluent"	""	21	A21	C21	D21	1		486	173.571	26.97	839.041	 	29.2281	31.3	24.9	CHEMI
"Blank"	""	"Antibody Diluent"	""	"Antibody Diluent"	""	22	A22	C22	D22	1		348	28.448	5.99	57.076	 	8.9465	14.1	4.44	CHEMI
"Blank"	""	"Antibody Diluent"	""	"Antibody Diluent"	""	24	A24	C24	D24	1		17	6.441	2.35	103.046	 	41.1592	20.3	0.2	CHEMI
"Blank"	""	"Antibody Diluent"	""	"Antibody Diluent"	""	25	A25	C25	D25	1		581	155.463	0.49	125.233	 	237.8537	13238.1	0.2	CHEMI
